# z         Log L_0.5-2keV
      1.49300      43.7630
     0.866000      42.6004
      1.43300      42.8107
      1.71900      43.0724
      2.50300      43.9151
      1.25900      42.5324
      1.36000      43.7787
     0.819000      42.5589
     0.838000      42.4613
      2.93200      43.2537
      1.79000      43.0187
      1.35300      42.6524
      4.21600      43.1103
      1.48100      43.7601
     0.714000      42.6804
    0.0760000      39.6872
      1.24100      44.5036
     0.444000      43.1539
     0.569000      41.9240
      1.84100      44.0198
      1.24800      43.5662
      1.16900      43.1947
      1.98500      42.7094
     0.340000      41.0283
      1.25900      42.3727
     0.667000      42.2096
      1.67300      43.1557
      1.23100      43.5974
     0.730000      41.9550
      1.56600      43.5399
      2.94700      44.0070
     0.530000      42.2537
      1.86100      42.8280
     0.874000      43.3251
      1.03500      43.3016
     0.749000      42.9958
      2.91900      43.0160
      1.35100      43.7675
      5.07000      43.8764
      1.71900      42.6797
      2.09600      43.5174
      1.28600      42.9500
      1.93900      43.5038
     0.735000      42.3925
      1.23300      42.5424
      1.42900      42.7349
      2.22000      43.7085
      2.33500      43.7994
      2.52400      43.5539
      2.94400      43.7453
      1.72700      43.0271
     0.419000      41.6359
      1.44900      42.5409
      2.40600      43.5185
      2.69300      43.4275
     0.375000      41.3483
      2.03100      43.1445
      2.67200      42.8822
     0.165000      41.1431
     0.846000      42.3664
      2.62300      43.1674
      1.26000      42.9125
      1.18900      42.9178
     0.834000      42.8628
     0.421000      41.7507
      3.41400      43.3217
      1.11300      42.8364
      1.36100      43.1436
      1.62500      43.9828
      2.48600      43.1451
     0.830000      42.8024
      1.80600      43.8459
     0.678000      42.3849
      2.67600      43.3531
     0.630000      41.8138
     0.940000      42.3374
      2.53600      43.1735
     0.830000      42.1260
     0.337000      42.4269
      2.41200      43.9251
     0.895000      43.0225
      2.55900      43.2654
      1.37300      42.4028
      1.51900      43.5645
      2.17400      43.1533
      1.34200      43.6306
      2.65400      43.2357
     0.657000      42.2757
      1.30900      42.7804
      1.19300      42.3037
      1.09200      42.7032
     0.826000      42.2139
      3.44700      42.9532
     0.218000      41.0309
      1.13400      43.8510
      2.34200      42.8936
     0.971000      42.7653
     0.711000      42.4545
     0.639000      41.6336
      1.66100      43.6129
      6.84000      43.6306
     0.971000      42.6594
      2.00900      43.1622
      1.66600      43.8131
      1.73300      42.6602
      1.44100      43.3008
      1.37300      42.4393
     0.965000      42.4169
      1.67900      44.3501
     0.550000      41.3540
      2.07600      43.6241
     0.831000      42.7917
     0.323000      41.8093
      1.16500      43.1929
      2.17700      43.2671
     0.442000      42.0146
     0.735000      42.3405
      1.82200      42.5990
      2.09500      42.7478
      1.14900      43.2867
     0.730000      42.8050
      1.84800      43.3472
      3.94900      43.8171
     0.958000      42.0686
     0.958000      42.4710
      1.30300      43.0547
      2.27900      43.1092
