# z         Log L_0.5-2keV
     0.368092      43.4295
      2.72686      44.4350
      1.38765      43.9653
     0.967571      44.2658
      1.71281      44.0679
     0.189979      42.2845
      2.23931      44.4249
      1.46075      44.4866
     0.733784      43.4315
     0.231961      42.7787
      1.46587      44.4110
      2.72778      44.5981
     0.574821      43.3644
     0.303720      43.1792
      1.02681      43.7954
      1.61411      43.9147
      2.29712      44.2715
     0.744271      43.9197
     0.671060      43.6907
     0.312056      43.6402
      3.03012      45.3800
      1.50893      44.3839
      2.25146      44.4005
      1.04865      44.2495
     0.869520      43.7938
      1.67734      44.7838
     0.486273      42.9481
      1.48395      44.4169
      1.02281      43.9280
      3.19575      45.0775
      1.20710      43.9174
     0.346505      42.4906
      1.43984      44.4413
     0.768937      43.4096
      1.10308      44.0249
     0.571863      43.2222
     0.620884      43.6124
     0.342859      42.6797
     0.303432      43.1947
      1.40473      44.0977
     0.616801      43.1809
     0.890786      43.7903
      1.51479      44.1498
      2.61352      44.7226
      2.14398      44.7044
     0.640833      43.4818
     0.617322      43.4210
      1.34099      44.4405
     0.798808      43.9047
     0.124992      42.3131
      1.34944      44.4883
     0.884395      44.5061
      1.44244      44.4431
      1.04872      43.5577
     0.818045      44.6278
      1.79917      44.6829
      2.25324      44.3752
     0.566916      43.2504
      2.59401      44.4611
      1.21089      44.2396
     0.859923      43.8713
      2.81743      44.5814
      1.95593      44.0988
      1.20979      44.8661
      2.16970      44.6117
     0.300995      43.6508
      2.10377      44.7729
    0.0566203      40.4581
      1.38197      44.3877
     0.197030      41.9308
     0.814525      43.6136
     0.842230      44.3375
      2.53200      44.6751
      1.34045      44.2480
      1.41471      44.4287
     0.474582      42.8771
     0.771789      44.0244
     0.124888      42.2131
    0.0582932      41.0851
      2.54599      44.3997
      1.81810      44.5685
      1.92102      44.6437
      1.56385      44.4558
      1.13602      44.2642
     0.405081      43.4437
      1.65986      44.5901
     0.167739      41.8226
     0.522701      44.4218
      2.43039      44.4716
     0.148791      41.7698
      1.80951      44.7185
      1.39234      44.0340
     0.490100      43.5724
     0.341048      42.4539
      2.60777      45.0448
     0.734929      43.2932
      2.06717      44.7436
     0.960483      43.8145
     0.916259      43.9065
      1.52255      44.2816
      2.75823      44.8301
     0.483840      42.7490
      2.75324      44.4863
     0.492399      43.6275
     0.405059      44.1361
      2.68790      44.4018
      2.58875      44.6917
      1.34211      44.4327
     0.894892      44.1339
      1.50859      44.6975
     0.465903      43.1769
     0.489822      43.3617
     0.166270      42.7278
      1.35460      43.7991
      1.12909      44.5055
      3.34887      45.6032
      1.00104      43.6284
      1.41016      44.3891
     0.646343      44.0419
      2.37287      44.4370
     0.145676      43.3746
