#R-K     X/O
      3.20556     0.447120
      3.27737     0.941602
      2.95832     0.605365
      2.44784     0.476912
      2.59126     0.438726
      3.35012     0.443006
      2.68654     0.221020
      3.85628     0.769021
      2.02048    -0.412633
      3.45224   -0.0646296
      1.88843    -0.166039
      2.46016     0.400192
      1.97378     0.254336
      1.86084    -0.401765
      3.12918     0.788699
      2.27038     0.225327
      1.74760   -0.0330853
      2.76933     0.489982
      2.68842     0.190750
      2.72043     0.532671
      1.73172     0.105469
      2.87009     0.290496
      2.48359     0.314693
      1.91767     0.154126
      2.61464     0.187201
      3.09366     0.677630
      2.42606   0.00550556
      3.39250     0.696779
      2.79934     0.388381
      2.87572     0.458014
      2.71541      1.26816
      2.51198     0.106441
      3.10398      1.32814
      3.07046     0.905372
      2.61080   -0.0678239
      2.11519     0.652617
      3.22094   0.00270891
      1.22576    -0.340971
      2.50452    -0.108805
      2.18253     -1.25721
      2.02571    -0.357562
      2.32420    -0.265242
      2.60065     0.261838
      3.09440     0.489882
      3.39191      1.10224
      1.92412    -0.135756
      3.39036     0.466919
      2.03807    -0.668310
      1.83178   -0.0299215
      1.61690    0.0617375
      1.65193     0.162736
      2.50716     0.758056
      1.73716     0.160869
      3.62445    0.0539045
      1.71425     0.780576
      2.17381    -0.320786
      3.71698     0.687402
      2.09188    -0.281351
      2.73472     0.154655
      2.73127    0.0477104
      2.72079     0.443283
      2.34880    0.0795698
      2.43760     0.570252
      1.99886  -0.00674820
      3.07867     0.684222
      2.89669    -0.474800
      3.32696     0.658903
      2.33923     0.242365
      2.43221     0.100533
      3.17469     0.292188
      2.59750    -0.440833
      2.14265     0.918186
      2.04136     0.322401
      2.97677     0.379817
      3.15579     0.351450
      3.29659     0.366958
      2.81923     0.526424
      1.83932   -0.0758448
      2.13950     0.371387
      3.15641    0.0738230
      2.01970   -0.0694180
      2.88953    0.0466380
      3.84336     0.826373
      2.17160     0.705550
      3.49811      1.02016
      3.21136     0.560141
      3.90338     0.965170
      2.72114    -0.310876
      3.16566     0.261263
      4.32547     0.723516
      3.76804     0.394210
      3.11204     0.702229
      3.97472     0.830172
      3.53540     0.205637
      3.49428      1.01906
      2.82768     0.310567
      3.19647     0.722239
      3.75718     0.851353
      3.49132     0.769633
      3.31227     0.504458
      3.76482      1.28164
      3.30450     0.383816
      3.24072     0.701854
      2.62455    -0.204586
      2.63363    -0.244766
      4.24420     0.705001
      3.29854     0.501159
      2.70767    -0.452293
      3.90833     0.614589
      3.33778     0.628499
      2.52573     0.161010
      3.49997     0.373287
      3.24043     0.266660
      3.86422     0.792151
      3.64135     0.753330
      4.15915     0.827973
      4.15129      1.20119
      3.68772     0.334904
      3.20552    -0.223428
      3.36051     0.860106
      3.43846     0.235750
      4.17766     0.894895
      2.66099     0.332321
      3.04553     0.244065
      3.75148     0.276955
      3.80343     0.489804
      2.53740    -0.764117
      3.07002   -0.0195866
      4.04585      1.38521
      2.89219     0.607354
      2.51727     0.367146
      3.63457     0.402127
      3.33559      1.55299
      3.33118     0.624230
      3.95117      1.14277
      2.59266   -0.0657444
      3.34405     0.169103
      2.86410   -0.0331535
      3.45954     0.660101
      2.07480    0.0122323
      3.47388     0.371290
      3.74530      1.32003
      3.82594      1.24522
      3.38120     0.434170
      4.16253      1.09802
      2.98363    0.0994091
      2.46410    -0.904222
      3.08103     0.570305
      2.76105     0.118807
      2.89129    -0.636942
      2.95647   -0.0831742
      3.96905     0.932259
      3.20256     0.317689
      4.06393      1.01928
      4.20302     0.868581
      3.70943      1.26314
      3.29079     0.481153
      2.76846    -0.279111
      2.47560   0.00553989
      4.08483     0.823500
      3.55414     0.322181
      3.74503     0.852695
      2.94267    0.0633855
      1.70607    -0.277095
      2.94526     0.376444
      3.35694     0.612370
      3.30884     0.724453
      3.54607     0.753410
      2.96888     0.171665
      3.92756     0.746363
      2.94076    -0.150907
      3.22970     0.319723
      3.18166     0.667810
      2.66351   0.00184107
      3.04660   -0.0196800
      2.99551    -0.400102
      3.31800    -0.174489
      3.49760     0.104127
      3.26933     0.902530
      2.86537   -0.0219831
      3.12937     0.821154
      3.53116     0.658362
      4.77867      1.00286
      5.08531      1.18510
      3.16764     0.635795
      4.08793     0.935506
      2.35358    -0.268498
      2.86993    -0.151108
      3.26414     0.765065
      3.02194    -0.212844
      2.72148    -0.370853
      3.04329     0.565211
      2.45785    -0.508488
      4.16600     0.726325
      3.29471     0.225008
      2.42997    -0.442038
      4.14085     0.672881
      2.63953    -0.331476
      3.77979     0.545939
      3.40361     0.601289
      3.58720     0.577544
      3.81890     0.492066
      3.22064     0.204056
      2.63245    0.0859890
      2.73606     0.914290
      2.09633    -0.939565
      2.85955    0.0766239
      3.56129     0.412914
      2.77238    0.0700288
      3.39860     0.648322
      2.66495     0.481373
      3.04907     0.137990
      2.79131   -0.0153012
      3.16095     0.376384
      3.00268     0.140822
      3.62227     0.733331
      2.84386   0.00279427
      4.23411      1.27326
      3.32879     0.511674
      3.49545     0.616948
      2.48062     0.389874
      3.93560      1.53767
      3.28865     0.424192
      3.28966      1.39764
      3.36497      1.27879
      3.42730     0.808143
      3.15172     0.549171
      3.05853     0.522980
      2.83670    -0.449952
      2.40031   -0.0190530
      3.58830      1.06622
      2.69247     0.317502
      3.65816     0.921779
      2.94362     0.165711
      3.36419     0.268351
      4.44786      1.09743
      2.79402    -0.239277
      3.38061     0.245821
      3.25817      1.08358
      3.36275     0.883772
      3.74629     0.677163
      3.75402     0.566459
      3.52912     0.673959
      4.37080     0.608215
      3.66578     0.456464
      5.45815      1.92552
      2.60621    -0.871588
      3.03743     0.504011
      3.24834     0.711680
      2.98697     0.600418
      3.35277     0.648365
      2.98281    -0.155277
      3.19756    0.0674067
      4.13068     0.489067
      3.34789     0.344240
      3.90727      1.06223
      3.50517     0.300481
      2.49615     0.766994
      2.90549     0.283214
      3.39827     0.175234
      3.73948      1.04586
      3.28605     0.393487
      4.43772     0.219857
      3.31583     0.672597
      4.18156      1.05102
      3.18291     0.523114
      2.26194    -0.334246
      2.58772     0.303415
      2.60444    -0.288672
      2.75645     0.116509
      3.41968     0.777380
      2.83244    0.0945067
      3.53600     0.562508
      2.77508    0.0136881
      2.23970    -0.554412
      2.57043  -0.00845289
      2.97888     0.175857
      3.41877      1.03404
      2.36855   -0.0533247
      2.63833    -0.118281
      4.26225      1.38729
      3.49512     0.457536
      2.91177    0.0805426
      3.15209     0.216113
      3.02195     0.367985
      3.01595    -0.376805
      3.86074      1.10500
      2.51962    -0.181257
      3.97057      1.01148
      4.00235      1.30041
      2.62199     0.951548
      3.66915      1.18545
      2.76523     0.671224
      3.71026     0.501691
      3.08234    0.0476828
      2.16649     0.207546
      2.68054     0.260628
      3.75583     0.796878
      3.30201     0.514930
      3.68809      1.03693
      3.92166     0.894688
      3.68318     0.786594
      3.38493     0.372450
      4.25830      1.10087
      3.66978     0.368130
      2.99058     0.806203
      2.66068    -0.139349
      3.09979     0.100791
      3.29836     0.576825
      3.25137     0.552682
      2.18916     0.192672
      2.56405    -0.212454
      3.09616    -0.365526
      2.70222     0.289314
      3.78186     0.796587
      3.32586     0.100328
      3.03203     0.288780
      3.54039     0.469139
      2.78319     0.361304
      3.58255      1.09235
      2.63986     0.781756
      4.06957      1.11629
      3.33628     0.537802
      3.68954      1.09075
      3.89744     0.154534
      2.76542    -0.474960
      4.31008      1.34884
      4.15189     0.884717
      2.81873     0.398083
      3.25025     0.624340
      3.39046     0.544378
      2.85991    0.0703964
      3.59173     0.637026
      3.76325     0.594597
      3.69084     0.928774
      2.76007     0.241564
      1.82698   -0.0239248
      3.50869    0.0363436
      3.67050     0.991868
      3.08883     0.230012
      3.53370     0.350352
      2.67508    -0.490940
      2.74282    -0.186292
      3.15755   -0.0408621
      3.51934     0.992416
      3.96611     0.738791
      3.67242     0.549358
      3.14878     0.201239
      3.49457     0.477944
      2.01777    -0.161963
      2.39153     0.534404
      2.15814    0.0677681
      2.34583    -0.143800
      3.12168    -0.300330
      2.16979     0.296865
      2.20697     0.701962
      3.29989     0.540899
      2.78374    -0.399250
      2.68005    -0.333083
      2.24229     0.757185
      2.62310    -0.506594
      2.20840     0.706829
      2.20742     0.745568
      3.48240     0.837638
      3.18115     0.291405
      2.31825     0.173989
      1.86771     0.643671
      2.55700     0.414627
      3.04881     0.639655
      2.79687     0.881727
      1.28085     0.281662
      2.34312     0.257569
      4.82889      1.34016
      3.00437    -0.450180
      1.86850   0.00866175
      2.75962    -0.311402
      2.56618   -0.0881662
      1.89441    0.0199480
      2.31382    -0.554847
      2.24422     0.697835
      2.70316    -0.743738
      3.11673      1.14148
      2.32135     0.853916
      3.54824     0.601726
      2.81147     0.770278
      2.82337    -0.260934
      1.48814    0.0559554
      3.02429     0.683244
      3.53199     0.319386
      1.93802     -1.39947
      2.71036     0.558910
      4.10465     0.236913
      1.71772     -1.37168
      1.99823     0.204090
      1.82861    -0.955649
      2.89205     0.776196
      3.33408     0.592221
      1.29986     0.436150
      3.10236    0.0823822
      3.19980     0.904433
      2.48518    -0.276486
      2.55186    -0.555263
      4.23598      1.36508
      1.50358     -1.55215
      3.12525   -0.0317144
