#R-K     X/O
      2.83850     0.840163
      3.80628     0.741288
      3.00488     0.932806
      3.48438      1.14388
      2.06492     0.450514
      2.92722    -0.158588
      1.51871     -1.21125
      2.14424     0.131023
      3.08861     0.966375
      3.69516     0.754682
      3.44887     0.949030
      1.84542     0.185421
      3.17868     0.544227
      3.63316     0.550424
      3.66429      1.23828
      3.57620    -0.492252
      3.47439     0.809447
      3.19326    -0.327786
      3.73672     0.176866
      3.45894    -0.223198
      3.61252     0.735543
      3.20018     0.421255
      3.86590      1.22128
      3.42609     0.716345
      3.88245     0.787416
      3.22218      1.47446
      3.03498     0.612319
      2.29259     0.581680
      3.63092      1.20985
      3.85087     0.435232
      3.79885     0.394708
      3.91980      1.14967
      3.54094     0.510806
      3.45386     0.455229
      3.40832     0.157125
      3.65309      1.20009
      2.57196     0.652685
      3.28353     0.575269
      2.60820     0.657780
      2.89688     0.895481
      2.22760     0.161698
      3.85918      1.33000
      3.90786     0.734219
      2.33600     0.648591
      2.77209     0.221869
      3.50499     0.793315
      3.88502     0.899643
      2.58388     0.522381
      2.68674    -0.536648
      3.34218     0.555745
      3.27583     0.231771
      3.13997     0.225294
      2.88101    0.0657530
      3.37355     0.796726
      3.32027     0.436983
      2.75509    0.0284595
      2.90143    0.0232849
      3.91995     0.899394
      3.04786     0.761419
      3.40667      1.09130
      2.20259     0.519016
      2.19099      1.02937
      3.70287     0.380813
      3.20976     0.913825
      2.04278    -0.750690
      3.49769     0.313310
      3.67961     0.756402
      2.57705     0.360807
      1.73555    -0.450683
      2.68870     0.534313
      2.26515    -0.300599
      2.45751     0.427197
      3.71456     0.283740
      2.79334     0.290227
      2.59174    -0.641885
      1.77379   -0.0570374
      2.92875    -0.704695
      3.06558     0.842491
      3.28288     0.618971
      1.67806     0.706954
      2.06665     -1.05039
      3.79155     0.973135
      3.47470     0.866592
      3.80624      1.08157
      2.78057     0.775434
      2.65878     0.658983
      2.44616     0.718481
      3.40845     0.573713
      3.70876      1.02042
      3.87917      1.02620
      3.74626      1.08928
      3.16426     0.886505
      3.51583     0.480048
      3.74941     0.253246
      3.14390     0.543624
      3.98810     0.872859
      3.18983     0.204447
      3.26123      1.03473
      3.95106     0.882860
      3.83072      1.35218
      3.26965     0.713925
      3.86948     0.911888
      1.44980    -0.393790
      3.33719     0.769609
      2.46560    -0.468198
      3.10992     0.637335
      1.82286    0.0865712
      3.01873     0.389433
      3.97399     0.818871
      2.94188     0.819992
      3.64840     0.791185
      3.67620      1.48704
      2.86711    -0.876082
      2.58901     0.317664
      3.11749    -0.526151
      3.76930     0.849474
      3.42122     0.291436
